model,fit_time_s,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_average_precision_mean,cv_average_precision_std,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc,test_accuracy,test_business_value,best_threshold,test_f1_tuned,test_business_value_tuned,champion
random_forest,1.7168348789215089,0.6306648476972012,0.017048191733462555,0.8452866603207303,0.00851357963682402,0.5560197354709869,0.015080123206072323,0.7290969899665551,0.029002653362781003,0.6570909022531937,0.019177252823704527,0.6334841628959276,0.5490196078431373,0.7486631016042781,0.8405719600093002,0.6473226044689543,0.7700496806245565,109500.0,0.45,0.6339381003201707,135550.0,True
logistic_regression,0.03927083015441894,0.6282663278752133,0.0235781796283683,0.8459866689618474,0.01241559286089035,0.5169348953946274,0.019307999162443613,0.8013377926421403,0.037932968237479145,0.6600154801054126,0.01955284817829904,0.6136125654450262,0.504302925989673,0.7834224598930482,0.8416518122400475,0.6327060026486367,0.7381121362668559,124850.0,0.54,0.6224156692056583,116250.0,False
mlp,0.5194180011749268,0.5881174542275287,0.02977794346749301,0.843197192072577,0.012665288922313759,0.6565609548595105,0.017173758991575028,0.5337792642140468,0.04265230385800632,0.655223954179688,0.02158956377775486,0.5466237942122186,0.6854838709677419,0.45454545454545453,0.8405280425740784,0.6343327818113509,0.7998580553584103,-71200.0,0.23,0.6283924843423799,140400.0,False
